Gene,Antibody id,Cell line,Location,Label,Gene name,Reliability,Main location,Additional location,Extracellular location,Enhanced,Supported,Approved,Uncertain,Single-cell variation intensity,Single-cell variation spatial,Cell cycle dependency,GO id,UniProt ID,SwissProt annotations,ID,Image_size,Cell_index,Cell_Label
ENSG00000019582,CAB002506,U-2 OS,golgi apparatus,7,CD74,Supported,Golgi apparatus,,,,Golgi apparatus,,,Golgi apparatus,,,Golgi apparatus (GO:0005794),P04233,"Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Endoplasmic reticulum membrane. Golgi apparatus, trans-Golgi network. Endosome. Lysosome. Note=Transits through a number of intracellular compartments in the endocytic pathway. It can either undergo proteolysis or reach the cell membrane.; SUBCELLULAR LOCATION: [Isoform p41]: Late endosome {ECO:0000250|UniProtKB:P04441}. Lysosome {ECO:0000250|UniProtKB:P04441}.",205_F11_1,1728,1,18
ENSG00000019582,CAB002506,U-2 OS,golgi apparatus,7,CD74,Supported,Golgi apparatus,,,,Golgi apparatus,,,Golgi apparatus,,,Golgi apparatus (GO:0005794),P04233,"Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Endoplasmic reticulum membrane. Golgi apparatus, trans-Golgi network. Endosome. Lysosome. Note=Transits through a number of intracellular compartments in the endocytic pathway. It can either undergo proteolysis or reach the cell membrane.; SUBCELLULAR LOCATION: [Isoform p41]: Late endosome {ECO:0000250|UniProtKB:P04441}. Lysosome {ECO:0000250|UniProtKB:P04441}.",205_F11_1,1728,2,7
ENSG00000019582,CAB002506,U-2 OS,golgi apparatus,7,CD74,Supported,Golgi apparatus,,,,Golgi apparatus,,,Golgi apparatus,,,Golgi apparatus (GO:0005794),P04233,"Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Endoplasmic reticulum membrane. Golgi apparatus, trans-Golgi network. Endosome. Lysosome. Note=Transits through a number of intracellular compartments in the endocytic pathway. It can either undergo proteolysis or reach the cell membrane.; SUBCELLULAR LOCATION: [Isoform p41]: Late endosome {ECO:0000250|UniProtKB:P04441}. Lysosome {ECO:0000250|UniProtKB:P04441}.",205_F11_1,1728,3,7
ENSG00000019582,CAB002506,U-2 OS,golgi apparatus,7,CD74,Supported,Golgi apparatus,,,,Golgi apparatus,,,Golgi apparatus,,,Golgi apparatus (GO:0005794),P04233,"Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Endoplasmic reticulum membrane. Golgi apparatus, trans-Golgi network. Endosome. Lysosome. Note=Transits through a number of intracellular compartments in the endocytic pathway. It can either undergo proteolysis or reach the cell membrane.; SUBCELLULAR LOCATION: [Isoform p41]: Late endosome {ECO:0000250|UniProtKB:P04441}. Lysosome {ECO:0000250|UniProtKB:P04441}.",205_F11_1,1728,4,18
ENSG00000019582,CAB002506,U-2 OS,golgi apparatus,7,CD74,Supported,Golgi apparatus,,,,Golgi apparatus,,,Golgi apparatus,,,Golgi apparatus (GO:0005794),P04233,"Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Endoplasmic reticulum membrane. Golgi apparatus, trans-Golgi network. Endosome. Lysosome. Note=Transits through a number of intracellular compartments in the endocytic pathway. It can either undergo proteolysis or reach the cell membrane.; SUBCELLULAR LOCATION: [Isoform p41]: Late endosome {ECO:0000250|UniProtKB:P04441}. Lysosome {ECO:0000250|UniProtKB:P04441}.",205_F11_1,1728,5,18
ENSG00000019582,CAB002506,U-2 OS,golgi apparatus,7,CD74,Supported,Golgi apparatus,,,,Golgi apparatus,,,Golgi apparatus,,,Golgi apparatus (GO:0005794),P04233,"Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Endoplasmic reticulum membrane. Golgi apparatus, trans-Golgi network. Endosome. Lysosome. Note=Transits through a number of intracellular compartments in the endocytic pathway. It can either undergo proteolysis or reach the cell membrane.; SUBCELLULAR LOCATION: [Isoform p41]: Late endosome {ECO:0000250|UniProtKB:P04441}. Lysosome {ECO:0000250|UniProtKB:P04441}.",205_F11_1,1728,6,7
ENSG00000019582,CAB002506,U-2 OS,golgi apparatus,7,CD74,Supported,Golgi apparatus,,,,Golgi apparatus,,,Golgi apparatus,,,Golgi apparatus (GO:0005794),P04233,"Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Endoplasmic reticulum membrane. Golgi apparatus, trans-Golgi network. Endosome. Lysosome. Note=Transits through a number of intracellular compartments in the endocytic pathway. It can either undergo proteolysis or reach the cell membrane.; SUBCELLULAR LOCATION: [Isoform p41]: Late endosome {ECO:0000250|UniProtKB:P04441}. Lysosome {ECO:0000250|UniProtKB:P04441}.",205_F11_1,1728,7,7
ENSG00000019582,CAB002506,U-2 OS,golgi apparatus,7,CD74,Supported,Golgi apparatus,,,,Golgi apparatus,,,Golgi apparatus,,,Golgi apparatus (GO:0005794),P04233,"Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Endoplasmic reticulum membrane. Golgi apparatus, trans-Golgi network. Endosome. Lysosome. Note=Transits through a number of intracellular compartments in the endocytic pathway. It can either undergo proteolysis or reach the cell membrane.; SUBCELLULAR LOCATION: [Isoform p41]: Late endosome {ECO:0000250|UniProtKB:P04441}. Lysosome {ECO:0000250|UniProtKB:P04441}.",205_F11_1,1728,8,18
ENSG00000019582,CAB002506,U-2 OS,golgi apparatus,7,CD74,Supported,Golgi apparatus,,,,Golgi apparatus,,,Golgi apparatus,,,Golgi apparatus (GO:0005794),P04233,"Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Endoplasmic reticulum membrane. Golgi apparatus, trans-Golgi network. Endosome. Lysosome. Note=Transits through a number of intracellular compartments in the endocytic pathway. It can either undergo proteolysis or reach the cell membrane.; SUBCELLULAR LOCATION: [Isoform p41]: Late endosome {ECO:0000250|UniProtKB:P04441}. Lysosome {ECO:0000250|UniProtKB:P04441}.",205_F11_1,1728,9,18
ENSG00000019582,CAB002506,U-2 OS,golgi apparatus,7,CD74,Supported,Golgi apparatus,,,,Golgi apparatus,,,Golgi apparatus,,,Golgi apparatus (GO:0005794),P04233,"Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Endoplasmic reticulum membrane. Golgi apparatus, trans-Golgi network. Endosome. Lysosome. Note=Transits through a number of intracellular compartments in the endocytic pathway. It can either undergo proteolysis or reach the cell membrane.; SUBCELLULAR LOCATION: [Isoform p41]: Late endosome {ECO:0000250|UniProtKB:P04441}. Lysosome {ECO:0000250|UniProtKB:P04441}.",205_F11_2,1728,1,18
ENSG00000019582,CAB002506,U-2 OS,golgi apparatus,7,CD74,Supported,Golgi apparatus,,,,Golgi apparatus,,,Golgi apparatus,,,Golgi apparatus (GO:0005794),P04233,"Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Endoplasmic reticulum membrane. Golgi apparatus, trans-Golgi network. Endosome. Lysosome. Note=Transits through a number of intracellular compartments in the endocytic pathway. It can either undergo proteolysis or reach the cell membrane.; SUBCELLULAR LOCATION: [Isoform p41]: Late endosome {ECO:0000250|UniProtKB:P04441}. Lysosome {ECO:0000250|UniProtKB:P04441}.",205_F11_2,1728,2,7
ENSG00000019582,CAB002506,U-2 OS,golgi apparatus,7,CD74,Supported,Golgi apparatus,,,,Golgi apparatus,,,Golgi apparatus,,,Golgi apparatus (GO:0005794),P04233,"Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Endoplasmic reticulum membrane. Golgi apparatus, trans-Golgi network. Endosome. Lysosome. Note=Transits through a number of intracellular compartments in the endocytic pathway. It can either undergo proteolysis or reach the cell membrane.; SUBCELLULAR LOCATION: [Isoform p41]: Late endosome {ECO:0000250|UniProtKB:P04441}. Lysosome {ECO:0000250|UniProtKB:P04441}.",205_F11_2,1728,3,7
ENSG00000019582,CAB002506,U-2 OS,golgi apparatus,7,CD74,Supported,Golgi apparatus,,,,Golgi apparatus,,,Golgi apparatus,,,Golgi apparatus (GO:0005794),P04233,"Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Endoplasmic reticulum membrane. Golgi apparatus, trans-Golgi network. Endosome. Lysosome. Note=Transits through a number of intracellular compartments in the endocytic pathway. It can either undergo proteolysis or reach the cell membrane.; SUBCELLULAR LOCATION: [Isoform p41]: Late endosome {ECO:0000250|UniProtKB:P04441}. Lysosome {ECO:0000250|UniProtKB:P04441}.",205_F11_2,1728,4,18
ENSG00000019582,CAB002506,U-2 OS,golgi apparatus,7,CD74,Supported,Golgi apparatus,,,,Golgi apparatus,,,Golgi apparatus,,,Golgi apparatus (GO:0005794),P04233,"Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Endoplasmic reticulum membrane. Golgi apparatus, trans-Golgi network. Endosome. Lysosome. Note=Transits through a number of intracellular compartments in the endocytic pathway. It can either undergo proteolysis or reach the cell membrane.; SUBCELLULAR LOCATION: [Isoform p41]: Late endosome {ECO:0000250|UniProtKB:P04441}. Lysosome {ECO:0000250|UniProtKB:P04441}.",205_F11_2,1728,5,7
ENSG00000019582,CAB002506,U-2 OS,golgi apparatus,7,CD74,Supported,Golgi apparatus,,,,Golgi apparatus,,,Golgi apparatus,,,Golgi apparatus (GO:0005794),P04233,"Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Endoplasmic reticulum membrane. Golgi apparatus, trans-Golgi network. Endosome. Lysosome. Note=Transits through a number of intracellular compartments in the endocytic pathway. It can either undergo proteolysis or reach the cell membrane.; SUBCELLULAR LOCATION: [Isoform p41]: Late endosome {ECO:0000250|UniProtKB:P04441}. Lysosome {ECO:0000250|UniProtKB:P04441}.",205_F11_2,1728,6,7
ENSG00000019582,CAB002506,U-2 OS,golgi apparatus,7,CD74,Supported,Golgi apparatus,,,,Golgi apparatus,,,Golgi apparatus,,,Golgi apparatus (GO:0005794),P04233,"Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Endoplasmic reticulum membrane. Golgi apparatus, trans-Golgi network. Endosome. Lysosome. Note=Transits through a number of intracellular compartments in the endocytic pathway. It can either undergo proteolysis or reach the cell membrane.; SUBCELLULAR LOCATION: [Isoform p41]: Late endosome {ECO:0000250|UniProtKB:P04441}. Lysosome {ECO:0000250|UniProtKB:P04441}.",205_F11_2,1728,7,7
ENSG00000019582,CAB002506,U-2 OS,golgi apparatus,7,CD74,Supported,Golgi apparatus,,,,Golgi apparatus,,,Golgi apparatus,,,Golgi apparatus (GO:0005794),P04233,"Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Endoplasmic reticulum membrane. Golgi apparatus, trans-Golgi network. Endosome. Lysosome. Note=Transits through a number of intracellular compartments in the endocytic pathway. It can either undergo proteolysis or reach the cell membrane.; SUBCELLULAR LOCATION: [Isoform p41]: Late endosome {ECO:0000250|UniProtKB:P04441}. Lysosome {ECO:0000250|UniProtKB:P04441}.",205_F11_2,1728,8,7
ENSG00000019582,CAB002506,U-2 OS,golgi apparatus,7,CD74,Supported,Golgi apparatus,,,,Golgi apparatus,,,Golgi apparatus,,,Golgi apparatus (GO:0005794),P04233,"Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Endoplasmic reticulum membrane. Golgi apparatus, trans-Golgi network. Endosome. Lysosome. Note=Transits through a number of intracellular compartments in the endocytic pathway. It can either undergo proteolysis or reach the cell membrane.; SUBCELLULAR LOCATION: [Isoform p41]: Late endosome {ECO:0000250|UniProtKB:P04441}. Lysosome {ECO:0000250|UniProtKB:P04441}.",205_F11_2,1728,9,7
ENSG00000019582,CAB002506,U-2 OS,golgi apparatus,7,CD74,Supported,Golgi apparatus,,,,Golgi apparatus,,,Golgi apparatus,,,Golgi apparatus (GO:0005794),P04233,"Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Endoplasmic reticulum membrane. Golgi apparatus, trans-Golgi network. Endosome. Lysosome. Note=Transits through a number of intracellular compartments in the endocytic pathway. It can either undergo proteolysis or reach the cell membrane.; SUBCELLULAR LOCATION: [Isoform p41]: Late endosome {ECO:0000250|UniProtKB:P04441}. Lysosome {ECO:0000250|UniProtKB:P04441}.",205_F11_2,1728,10,18
ENSG00000019582,CAB002506,U-2 OS,golgi apparatus,7,CD74,Supported,Golgi apparatus,,,,Golgi apparatus,,,Golgi apparatus,,,Golgi apparatus (GO:0005794),P04233,"Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Endoplasmic reticulum membrane. Golgi apparatus, trans-Golgi network. Endosome. Lysosome. Note=Transits through a number of intracellular compartments in the endocytic pathway. It can either undergo proteolysis or reach the cell membrane.; SUBCELLULAR LOCATION: [Isoform p41]: Late endosome {ECO:0000250|UniProtKB:P04441}. Lysosome {ECO:0000250|UniProtKB:P04441}.",205_F11_2,1728,11,18
ENSG00000026508,CAB000316,A-431,golgi apparatus;plasma membrane,7;13,CD44,Supported,Plasma membrane,Golgi apparatus,Predicted to be secreted,,Plasma membrane,Golgi apparatus,,Golgi apparatus;Plasma membrane,,,Golgi apparatus (GO:0005794);Plasma membrane (GO:0005886),P16070,"Cell membrane {ECO:0000269|PubMed:22726066, ECO:0000269|PubMed:23589287}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, microvillus {ECO:0000250|UniProtKB:P15379}. Note=Colocalizes with actin in membrane protrusions at wounding edges. Co-localizes with RDX, EZR and MSN in microvilli. Localizes to cholesterol-rich membrane-bound lipid raft domains. {ECO:0000250|UniProtKB:P15379, ECO:0000269|PubMed:23589287}.",204_H10_1,1728,1,7;13
