Gene,Antibody id,Cell line,Location,Label,Gene name,Reliability,Main location,Additional location,Extracellular location,Enhanced,Supported,Approved,Uncertain,Single-cell variation intensity,Single-cell variation spatial,Cell cycle dependency,GO id,ID,Url,Single-cell variation
ENSG00000001084,CAB009569,A-431,nucleoplasm;nucleoli;cytosol,0;2;16,GCLC,Approved,Nucleoplasm,Cytosol;Nucleoli,,,,Cytosol;Nucleoli;Nucleoplasm,,Nucleoplasm,,,cytosol;nucleoli;nucleoplasm,921_H5_1,921_H5_1;921_H5_2,True
ENSG00000001084,CAB009569,A-431,nucleoplasm;nucleoli;cytosol,0;2;16,GCLC,Approved,Nucleoplasm,Cytosol;Nucleoli,,,,Cytosol;Nucleoli;Nucleoplasm,,Nucleoplasm,,,cytosol;nucleoli;nucleoplasm,921_H5_2,921_H5_1;921_H5_2,True
ENSG00000001084,CAB009569,U-251 MG,nucleoplasm;nucleoli;cytosol,0;2;16,GCLC,Approved,Nucleoplasm,Cytosol;Nucleoli,,,,Cytosol;Nucleoli;Nucleoplasm,,Cytosol,,,cytosol;nucleoli;nucleoplasm,923_H5_1,923_H5_1;923_H5_3,True
ENSG00000001084,CAB009569,U-251 MG,nucleoplasm;nucleoli;cytosol,0;2;16,GCLC,Approved,Nucleoplasm,Cytosol;Nucleoli,,,,Cytosol;Nucleoli;Nucleoplasm,,Cytosol,,,cytosol;nucleoli;nucleoplasm,923_H5_3,923_H5_1;923_H5_3,True
ENSG00000001630,HPA043508,U-2 OS,endoplasmic reticulum,6,CYP51A1,Enhanced,Endoplasmic reticulum,,,Endoplasmic reticulum,,,,Endoplasmic reticulum,,,endoplasmic reticulum,727_A3_2,727_A3_2;727_A3_5,True
ENSG00000001630,HPA043508,U-2 OS,endoplasmic reticulum,6,CYP51A1,Enhanced,Endoplasmic reticulum,,,Endoplasmic reticulum,,,,Endoplasmic reticulum,,,endoplasmic reticulum,727_A3_5,727_A3_2;727_A3_5,True
ENSG00000003137,HPA012567,A-431,cytosol,16,CYP26B1,Approved,Cytosol,,,,,Cytosol,,Cytosol,,,cytosol,103_E2_1,103_E2_1;103_E2_2,True
ENSG00000003137,HPA012567,A-431,cytosol,16,CYP26B1,Approved,Cytosol,,,,,Cytosol,,Cytosol,,,cytosol,103_E2_2,103_E2_1;103_E2_2,True
ENSG00000003137,HPA012567,U-251 MG,cytosol,16,CYP26B1,Approved,Cytosol,,,,,Cytosol,,Cytosol,,,cytosol,102_E2_1,102_E2_1;102_E2_2,True
ENSG00000003137,HPA012567,U-251 MG,cytosol,16,CYP26B1,Approved,Cytosol,,,,,Cytosol,,Cytosol,,,cytosol,102_E2_2,102_E2_1;102_E2_2,True
