ID,Label_idx,Cellline,in_trainset,Label,Nucleoplasm,Nuclear Membrane,Nucleoli,Nucleoli Fibrillar Center,Nuclear Speckles,Nuclear Bodies,Endoplasmic Reticulum,Golgi Apparatus,Intermediate Filaments,Actin Filaments,Microtubules,Mitotic Spindle,Centrosome,Plasma Membrane,Mitochondria,Aggresome,Cytosol,Vesicles,Negative,ImageWidth,Cell Counts,idx,fold
56_F11_1,"Plasma membrane,Cytosol",U-2 OS,FALSE,13|16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1728,13,13,0
56_F11_2,"Plasma membrane,Cytosol",U-2 OS,FALSE,13|16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1728,10,10,0
57_F11_1,"Plasma membrane,Cytosol",A-431,FALSE,13|16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1728,9,9,0
57_F11_2,"Plasma membrane,Cytosol",A-431,FALSE,13|16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1728,5,5,0
100_C10_1,"Nucleoplasm,Cytosol",A-431,FALSE,0|16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1728,13,13,0
100_C10_2,"Nucleoplasm,Cytosol",A-431,FALSE,0|16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1728,20,20,0
101_C10_1,"Nucleoplasm,Cytosol",U-2 OS,FALSE,0|16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1728,9,9,0
101_C10_2,"Nucleoplasm,Cytosol",U-2 OS,FALSE,0|16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1728,10,10,0
82_C10_1,"Nucleoplasm,Cytosol",U-251 MG,FALSE,0|16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1728,13,13,0
82_C10_2,"Nucleoplasm,Cytosol",U-251 MG,FALSE,0|16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1728,11,11,0
48_A8_1,"Endoplasmic reticulum,Golgi apparatus",A-431,FALSE,6|7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1728,9,9,0
48_A8_2,"Endoplasmic reticulum,Golgi apparatus",A-431,FALSE,6|7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1728,9,9,0
970_G1_1,"Nuclear speckles,Plasma membrane,Cytosol",U-2 OS,FALSE,4|13|16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2048,8,8,0
970_G1_4,"Nuclear speckles,Plasma membrane,Cytosol",U-2 OS,FALSE,4|13|16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2048,14,14,0
973_A9_1,"Nuclear speckles,Plasma membrane,Cytosol",A-431,FALSE,4|13|16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2048,7,7,0
973_A9_2,"Nuclear speckles,Plasma membrane,Cytosol",A-431,FALSE,4|13|16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2048,10,10,0
1113_D1_1,"Nucleoplasm,Mitochondria",A549,FALSE,0|14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2048,10,10,0
1123_D1_1,"Nucleoplasm,Mitochondria",U-2 OS,FALSE,0|14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2048,6,6,0
1123_D1_2,"Nucleoplasm,Mitochondria",U-2 OS,FALSE,0|14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2048,9,9,0
1509_F8_1,"Nucleoplasm,Mitochondria",SiHa,FALSE,0|14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2048,21,21,0
1509_F8_2,"Nucleoplasm,Mitochondria",SiHa,FALSE,0|14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2048,25,25,0
1878_D10_40,"Vesicles,Focal adhesion sites",HUVEC TERT2,FALSE,9|17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3072,20,19,0
1878_D10_48,"Vesicles,Focal adhesion sites",HUVEC TERT2,FALSE,9|17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3072,22,22,0
